publisher
Viz Media
VIZ Media
Kodansha
Kodansha Comics
Kodansha USA
Shueisha
Square Enix
Square Enix Manga
Shogakukan
Hakusensha
Akita Shoten
Futabasha
Mag Garden
Media Factory
ASCII Media Works
Kadokawa
Kadokawa Shoten
Yen Press
Yen On
Seven Seas Entertainment
Seven Seas
Dark Horse Manga
Tokyopop
Del Rey Manga
Vertical
Vertical Comics
Fantagraphics
Casterman
Dargaud
Soleil Manga
Kana
Pika Edition
Pika Graphic
Glénat
Glénat Manga
Ki-oon
Kurokawa
Tonkam
Delcourt
J'ai Lu
Panini Manga
Panini Comics
Crunchyroll
Crunchyroll Manga
Ablaze
Ablaze Manga
Oni Press
Drawn & Quarterly
NBM Publishing
